city_id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
72,Souillac,-20.5167,57.5167,68.38,68,75,8.05,MU,6/22/21 2:45
73,Castro,-24.7911,-50.0119,52.84,98,100,2.21,BR,6/22/21 2:45
74,Tasiilaq,65.6145,-37.6368,39.36,82,3,1.97,GL,6/22/21 2:45
75,Santa Cruz,-17.8,-63.1667,54.86,88,90,6.91,BO,6/22/21 2:44
76,Boa Vista,2.8197,-60.6733,78.78,78,75,2.3,BR,6/22/21 2:41
77,Dunedin,-45.8742,170.5036,48.79,56,69,18.01,NZ,6/22/21 2:45
78,Sitka,57.0531,-135.33,53.49,76,90,10.36,US,6/22/21 2:45
79,Victoria Point,-27.5833,153.3,73.35,61,69,10,AU,6/22/21 2:45
80,Aginskoye,51.1,114.53,74.01,48,33,9.6,RU,6/22/21 2:45
81,Arraial Do Cabo,-22.9661,-42.0278,68.85,80,14,12.73,BR,6/22/21 2:45
82,Vaini,-21.2,-175.2,80.76,78,20,13.8,TO,6/22/21 2:45
83,Salekhard,66.53,66.6019,47.68,70,100,5.1,RU,6/22/21 2:45
84,Alice Springs,-23.7,133.8833,65.75,30,100,19.71,AU,6/22/21 2:45
85,Bataipora,-22.2953,-53.2711,62.8,94,100,3.6,BR,6/22/21 2:45
86,Severnyy,50.677,36.5532,69.84,60,0,11.18,RU,6/22/21 2:45
87,Yellowknife,62.456,-114.3525,68.52,32,40,6.91,CA,6/22/21 2:45
88,Krasnaya Gora,52.9995,31.6023,66.11,91,80,7.47,RU,6/22/21 2:45
89,Georgetown,5.4112,100.3354,84.88,76,20,3,MY,6/22/21 2:44
90,Atuona,-9.8,-139.0333,78.85,79,24,11.16,PF,6/22/21 2:45
91,Aklavik,68.2191,-135.0107,52.52,55,96,20.92,CA,6/22/21 2:45
92,Hofn,64.2539,-15.2082,46.78,98,100,12.24,IS,6/22/21 2:45
93,Ribeira Grande,38.5167,-28.7,65.71,76,93,8.08,PT,6/22/21 2:45
94,Asau,46.4333,26.4,61.72,100,36,3.22,RO,6/22/21 2:45
95,Isangel,-19.55,169.2667,77.11,73,75,3.44,VU,6/22/21 2:45
96,Bengkulu,-3.8004,102.2655,82.67,65,100,3.62,ID,6/22/21 2:45
97,Camacha,33.0833,-16.3333,65.53,77,75,11.5,PT,6/22/21 2:45
98,Goba,7.0167,39.9833,46.63,90,42,4.85,ET,6/22/21 2:45
99,Puerto Madryn,-42.7692,-65.0385,52.03,61,100,13.27,AR,6/22/21 2:45
100,Hobart,-42.8794,147.3294,51.26,83,75,8.05,AU,6/22/21 2:45
101,Ryazanovskiy,55.55,39.4333,69.33,80,96,2.91,RU,6/22/21 2:45
