City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
54,Bredasdorp,ZA,2021-06-22 03:37:32,-34.5322,20.0403,61.92,67,36,13.8,scattered clouds,0,0
55,Carutapera,BR,2021-06-22 03:40:04,-1.195,-46.02,74.25,93,8,4.85,clear sky,0,0
56,Jacareacanga,BR,2021-06-22 03:39:01,-6.2222,-57.7528,72.72,75,1,1.9,clear sky,0,0
57,Kiunga,PG,2021-06-22 03:40:04,-6.1219,141.2906,88.18,61,84,3.09,broken clouds,0,0
58,Thompson,CA,2021-06-22 03:38:10,55.7435,-97.8558,50.16,66,75,2.3,broken clouds,0,0
59,Viedma,AR,2021-06-22 03:40:04,-40.8135,-62.9967,48.24,68,66,12.55,broken clouds,0,0
60,Atuona,PF,2021-06-22 03:33:10,-9.8,-139.0333,79.03,79,23,10.92,light rain,0,0
61,Ribeira Grande,PT,2021-06-22 03:37:38,38.5167,-28.7,65.43,76,95,7.54,overcast clouds,0,0
62,Doha,QA,2021-06-22 03:40:05,25.2867,51.5333,93.18,40,0,6.91,clear sky,0,0
63,Berdigestyakh,RU,2021-06-22 03:40:05,62.0989,126.6992,91.98,22,18,3.89,few clouds,0,0
64,Mount Isa,AU,2021-06-22 03:37:32,-20.7333,139.5,80.37,17,99,8.05,overcast clouds,0,0
65,Balancan,MX,2021-06-22 03:40:05,17.8,-91.5333,85.91,58,88,13.67,overcast clouds,0,0
66,Tuktoyaktuk,CA,2021-06-22 03:38:18,69.4541,-133.0374,39.2,93,90,20.71,overcast clouds,0,0
67,El Alto,PE,2021-06-22 03:39:31,-4.2714,-81.2147,65.19,87,57,11.74,broken clouds,0,0
68,Lebu,CL,2021-06-22 03:38:07,-37.6167,-73.65,53.42,95,100,9.01,overcast clouds,0,0
69,Souillac,MU,2021-06-22 03:38:53,-20.5167,57.5167,66.58,88,75,3.44,broken clouds,0,0
70,Los Llanos De Aridane,ES,2021-06-22 03:40:06,28.6585,-17.9182,64.15,82,75,10.36,broken clouds,0,0
71,Ankang,CN,2021-06-22 03:40:06,32.68,109.0172,87.33,38,11,1.36,few clouds,0,0
