city_id,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
164,Vila Franca Do Campo,PT,63.01,scattered clouds,37.7167,-25.4333,
165,Torbay,CA,61.48,broken clouds,47.6666,-52.7314,
166,Meulaboh,ID,78.53,overcast clouds,4.1363,96.1285,
168,Vostok,RU,77.23,scattered clouds,46.4856,135.8833,
169,Guaruja,BR,70.16,moderate rain,-23.9931,-46.2564,
170,Kahului,US,84.22,scattered clouds,20.8947,-156.47,
172,Ascension,US,77.04,scattered clouds,30.2169,-90.9001,
173,Carnarvon,AU,62.67,clear sky,-24.8667,113.6333,
174,Novi Becej,RS,65.28,scattered clouds,45.5986,20.1356,
175,Gizo,SB,83.48,light rain,-8.103,156.8419,
176,Dingle,PH,83.3,overcast clouds,10.9995,122.6711,
177,Butaritari,KI,83.12,overcast clouds,3.0707,172.7902,
178,Puerto Ayora,EC,73.54,overcast clouds,-0.7393,-90.3518,
179,Penha,BR,62.82,overcast clouds,-26.7694,-48.6458,
180,Bardiyah,LY,73.42,clear sky,31.7561,25.0865,
181,Arraial Do Cabo,BR,68.49,few clouds,-22.9661,-42.0278,
183,Hasaki,JP,80.19,broken clouds,35.7333,140.8333,
184,Ponta Do Sol,PT,69.01,few clouds,32.6667,-17.1,
186,Rock Sound,BS,81.21,scattered clouds,24.9,-76.2,
188,Bull Savanna,JM,76.64,few clouds,17.8868,-77.5902,
189,Pisco,PE,64.45,overcast clouds,-13.7,-76.2167,
190,Roebourne,AU,66.34,broken clouds,-20.7833,117.1333,
191,Kabanjahe,ID,74.16,overcast clouds,3.1001,98.4908,
196,Acarau,BR,75.72,few clouds,-2.8856,-40.12,
197,Keita,NE,79.18,broken clouds,14.7551,5.7749,
200,Uyskoye,RU,68.54,broken clouds,54.3775,60.0047,
201,Abnub,EG,79.02,clear sky,27.2696,31.1511,
202,Emba,KZ,77.4,clear sky,48.8264,58.1442,
203,Ulaangom,MN,68.52,broken clouds,49.9811,92.0667,
205,Duki,PK,83.16,few clouds,30.1541,68.5728,
206,Avera,US,79.48,overcast clouds,33.194,-82.5271,
208,Port Alfred,ZA,69.82,clear sky,-33.5906,26.891,
209,Fort Smith,US,67.33,overcast clouds,35.3859,-94.3986,
210,Pangai,TO,80.71,few clouds,-19.8,-174.35,
211,Jamestown,US,63.09,overcast clouds,42.097,-79.2353,
212,Ust-Kut,RU,64.6,overcast clouds,56.7938,105.7672,
214,Orel-Izumrud,RU,73.42,few clouds,43.4583,39.9244,
215,Calabozo,VE,73.85,scattered clouds,8.9242,-67.4293,
217,Casimcea,RO,64.51,overcast clouds,44.7333,28.3667,
218,Iralaya,HN,81.39,scattered clouds,15.0,-83.2333,
221,Borovichi,RU,72.81,broken clouds,58.3878,33.9155,
223,Iguape,BR,60.89,overcast clouds,-24.7081,-47.5553,
225,Iracoubo,GF,75.45,overcast clouds,5.4802,-53.2011,
226,Birobidzhan,RU,80.37,few clouds,48.8,132.95,
227,Sakakah,SA,78.37,clear sky,29.9697,40.2064,
228,Kadoma,JP,83.17,broken clouds,34.7333,135.5833,
229,Oskaloosa,US,61.52,clear sky,41.2964,-92.6444,
230,Chokurdakh,RU,75.49,clear sky,70.6333,147.9167,
231,Shache,CN,82.78,few clouds,38.4167,77.2406,
232,Turayf,SA,68.25,clear sky,31.6725,38.6637,
233,Viransehir,TR,80.2,clear sky,37.2353,39.7631,
235,Jogindarnagar,IN,83.71,clear sky,31.9833,76.7667,
237,Dibulla,CO,78.28,overcast clouds,11.2725,-73.3091,
238,Makakilo City,US,82.72,light rain,21.3469,-158.0858,
241,Ocampo,MX,67.05,overcast clouds,21.65,-101.5,
242,Rumoi,JP,68.95,clear sky,43.9344,141.6428,
243,Inhambane,MZ,64.38,light rain,-23.865,35.3833,
244,Rybinsk,RU,72.27,overcast clouds,58.0446,38.8426,
246,Rabo De Peixe,PT,62.11,broken clouds,37.8,-25.5833,
247,Berberati,CF,65.5,overcast clouds,4.2612,15.7922,
249,Mae Hong Son,TH,82.54,broken clouds,19.3003,97.9685,
252,Abha,SA,66.45,clear sky,18.2164,42.5053,
253,Antalaha,MG,67.93,light rain,-14.9003,50.2788,
254,Eyl,SO,79.07,scattered clouds,7.9803,49.8164,
255,Evensk,RU,63.09,overcast clouds,61.95,159.2333,
256,Tual,ID,81.57,broken clouds,-5.6667,132.75,
257,Surt,LY,80.8,clear sky,31.2089,16.5887,
258,Las Palmas,ES,63.39,few clouds,28.4204,-14.0131,
260,Namatanai,PG,84.13,light rain,-3.6667,152.4333,
261,Awbari,LY,83.23,clear sky,26.5921,12.7805,
262,Cockburn Town,TC,80.98,overcast clouds,21.4612,-71.1419,
263,San Cristobal,VE,64.42,broken clouds,7.7669,-72.225,
264,Sola,VU,84.87,scattered clouds,-13.8833,167.55,
265,Fort Morgan,US,65.8,clear sky,40.2503,-103.8,
268,Sibolga,ID,73.49,light rain,1.7427,98.7792,
271,Constantine,DZ,67.41,clear sky,36.365,6.6147,
272,Puerto Escondido,MX,82.63,overcast clouds,15.85,-97.0667,
273,South Bradenton,US,82.99,few clouds,27.4631,-82.5818,
276,Kladovo,RS,68.11,overcast clouds,44.6067,22.6119,
277,Hamilton,US,66.4,broken clouds,39.1834,-84.5333,
279,Kaohsiung,TW,84.15,broken clouds,22.6163,120.3133,
280,Barranca,PE,64.58,overcast clouds,-10.75,-77.7667,
281,Benguela,AO,69.26,scattered clouds,-12.5763,13.4055,
283,Camacha,PT,65.53,broken clouds,33.0833,-16.3333,
284,Altay,CN,68.45,moderate rain,47.8667,88.1167,
285,Kungurtug,RU,62.33,overcast clouds,50.5994,97.5228,
286,Sychevka,RU,70.18,scattered clouds,55.8252,34.2736,
288,Chara,RU,77.72,clear sky,56.9064,118.2631,
289,Karratha,AU,66.63,scattered clouds,-20.7377,116.8463,
290,Weihe,CN,80.92,overcast clouds,32.9952,105.3247,
291,Yeniseysk,RU,63.36,broken clouds,58.4497,92.1703,
293,Tabou,CI,76.66,light rain,4.423,-7.3528,
294,San Giljan,MT,79.07,clear sky,35.9184,14.4898,
296,Bilibino,RU,65.66,light rain,68.0546,166.4372,
298,Dana Point,US,78.84,clear sky,33.467,-117.6981,
299,Katsuura,JP,80.64,overcast clouds,35.1333,140.3,
300,Ponta Delgada,PT,63.32,broken clouds,37.7333,-25.6667,
301,Sciacca,IT,81.03,broken clouds,37.5082,13.0881,
303,San Lucas,MX,74.16,broken clouds,16.6,-92.7167,
304,Chifeng,CN,77.4,scattered clouds,42.2683,118.9636,
305,Paraiso,CR,63.46,overcast clouds,9.8383,-83.8656,
307,Cadiz,ES,63.59,clear sky,36.5,-5.75,
308,Martinsville,US,79.21,clear sky,36.6915,-79.8725,
310,Caravelas,BR,70.27,clear sky,-17.7125,-39.2481,
311,Lemon Tree Passage,AU,64.11,broken clouds,-32.7327,152.036,
312,Sao Filipe,CV,71.35,few clouds,14.8961,-24.4956,
313,Tezu,IN,80.87,overcast clouds,27.9167,96.1667,
315,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,
316,Kushima,JP,83.71,broken clouds,31.4583,131.2333,
317,San Francisco,US,67.14,few clouds,37.7749,-122.4194,
318,Salalah,OM,80.69,overcast clouds,17.0151,54.0924,
319,Rosarito,MX,69.82,scattered clouds,32.3333,-117.0333,
321,Boyolangu,ID,82.9,broken clouds,-8.1181,111.8935,
323,Sarangani,PH,83.93,broken clouds,5.4033,125.4636,
327,Seminole,US,75.42,scattered clouds,28.7086,-81.2081,
328,Burns Lake,CA,71.02,broken clouds,54.2331,-125.7533,
329,Kruisfontein,ZA,67.51,clear sky,-34.0033,24.7314,
330,Dobryanka,RU,71.46,scattered clouds,58.4619,56.4165,
331,Kaduqli,SD,76.42,scattered clouds,11.0167,29.7167,
332,Tautira,PF,82.0,few clouds,-17.7333,-149.15,
334,San Clemente,US,78.3,few clouds,33.427,-117.612,
336,Nome,US,67.15,clear sky,64.5011,-165.4064,
337,Balikpapan,ID,81.59,few clouds,-1.2675,116.8289,
338,Moshenskoye,RU,72.82,scattered clouds,58.5102,34.5911,
341,Deputatskiy,RU,68.61,clear sky,69.3,139.9,
343,Podgornoye,RU,71.82,clear sky,51.735,39.1496,
345,Sao Joao Da Barra,BR,64.45,broken clouds,-21.6403,-41.0511,
346,Berestechko,UA,71.01,clear sky,50.3605,25.1107,
347,Kawalu,ID,83.73,broken clouds,-7.3817,108.2082,
348,Maxixe,MZ,64.22,light rain,-23.8597,35.3472,
351,Angoche,MZ,66.88,light rain,-16.2325,39.9086,
352,Sukumo,JP,78.08,broken clouds,32.9333,132.7333,
353,Hobyo,SO,77.25,scattered clouds,5.3505,48.5268,
354,Westport,US,77.27,broken clouds,41.1415,-73.3579,
356,Khvatovka,RU,75.81,clear sky,52.3524,46.5628,
357,Port Hardy,CA,62.78,few clouds,50.6996,-127.4199,
358,Omboue,GA,74.55,overcast clouds,-1.5746,9.2618,
359,Shingu,JP,76.19,broken clouds,33.7333,135.9833,
360,Uyemskiy,RU,73.45,scattered clouds,64.4743,40.8524,
365,Naze,JP,76.12,overcast clouds,28.3667,129.4833,
366,Chicama,PE,65.32,broken clouds,-7.8447,-79.1469,
367,Robertsport,LR,77.16,moderate rain,6.7533,-11.3686,
370,Oranjestad,AW,82.35,few clouds,12.524,-70.027,
371,Marzuq,YE,77.04,broken clouds,14.4,46.4667,
372,Santo Antonio Do Ica,BR,71.35,scattered clouds,-3.1022,-67.9397,
374,Shenjiamen,CN,76.24,light rain,29.9576,122.298,
375,Isangel,VU,77.11,broken clouds,-19.55,169.2667,
376,Roma,US,71.46,broken clouds,43.2128,-75.4557,
377,Riyadh,SA,80.65,clear sky,24.6877,46.7219,
378,Porto Novo,BJ,75.02,moderate rain,6.4965,2.6036,
379,Townsville,AU,76.08,scattered clouds,-19.25,146.8,
380,Ulaanbaatar,MN,60.93,scattered clouds,47.9077,106.8832,
382,Itoman,JP,80.98,broken clouds,26.1247,127.6694,
383,Anuchino,RU,74.12,few clouds,43.9622,133.0544,
385,Loknya,RU,70.48,light rain,56.83,30.1467,
386,Mahibadhoo,MV,83.25,broken clouds,3.7833,72.9667,
387,Sinnamary,GF,76.33,overcast clouds,5.3833,-52.95,
388,Miles City,US,74.37,clear sky,46.4083,-105.8406,
389,Bonfim,BR,73.8,few clouds,3.0833,-59.95,
391,Smidovich,RU,77.83,few clouds,48.6,133.8167,
394,Yeppoon,AU,73.18,few clouds,-23.1333,150.7333,
395,Petropavlovsk-Kamchatskiy,RU,64.99,broken clouds,53.0452,158.6483,
396,Akcakoca,TR,65.89,broken clouds,41.0866,31.1162,
397,Guerrero Negro,MX,65.34,clear sky,27.9769,-114.0611,
398,Rantepao,ID,83.01,broken clouds,-2.9701,119.8978,
399,Bengkulu,ID,83.59,overcast clouds,-3.8004,102.2655,
401,Sainte-Maxime,FR,69.96,clear sky,43.3,6.6333,
403,Gamba,GA,74.08,overcast clouds,-2.65,10.0,
404,Vao,NC,69.8,overcast clouds,-22.6667,167.4833,
405,Progreso,MX,84.31,overcast clouds,21.2833,-89.6667,
406,Pacific Grove,US,64.62,clear sky,36.6177,-121.9166,
407,Nioro,GM,80.04,overcast clouds,13.35,-15.75,
409,Ouadda,CF,65.84,broken clouds,8.0777,22.4007,
411,Gemena,CD,68.49,light rain,3.25,19.7667,
413,Tocopilla,CL,61.54,overcast clouds,-22.092,-70.1979,
415,College,US,69.75,broken clouds,64.8569,-147.8028,
416,Nishihara,JP,80.26,drizzle,26.1842,127.7558,
417,Paracuru,BR,80.62,scattered clouds,-3.41,-39.0306,
419,Gao,ML,81.28,scattered clouds,16.6362,1.637,
421,Sarankhola,BD,83.08,overcast clouds,22.3082,89.7897,
422,Palmer,US,76.28,broken clouds,42.1584,-72.3287,
423,Naifaru,MV,82.38,scattered clouds,5.4444,73.3657,
426,Mundo Nuevo,MX,82.35,broken clouds,18.7,-95.5,
428,Korla,CN,82.33,overcast clouds,41.7597,86.1469,
429,Sao Gabriel Da Cachoeira,BR,70.45,scattered clouds,-0.1303,-67.0892,
430,Russell,US,74.91,haze,32.3502,-85.1999,
432,Snyder,US,69.53,overcast clouds,32.7179,-100.9176,
433,Takoradi,GH,77.25,overcast clouds,4.8845,-1.7554,
434,Dallas,US,74.8,overcast clouds,32.7668,-96.7836,
435,Saint-Pierre,RE,65.88,light rain,-21.3393,55.4781,
436,Terney,RU,66.49,clear sky,45.0503,136.6092,
437,Manzhouli,CN,75.27,broken clouds,49.6,117.4333,
438,Yaan,NG,70.11,overcast clouds,7.3833,8.5667,
439,Itapetinga,BR,64.26,clear sky,-15.2489,-40.2478,
440,Bubaque,GW,79.05,overcast clouds,11.2833,-15.8333,
441,Coxim,BR,71.6,broken clouds,-18.5067,-54.76,
442,Nautla,MX,82.38,overcast clouds,20.2167,-96.7833,
448,Ganzhou,CN,84.24,overcast clouds,28.8184,115.4327,
449,Pundaguitan,PH,84.2,scattered clouds,6.3711,126.1689,
450,Seoul,KR,81.97,broken clouds,37.5683,126.9778,
451,Mujiayingzi,CN,76.39,few clouds,42.1167,118.7833,
452,Padang,ID,83.93,overcast clouds,-0.9492,100.3543,
453,Murygino,RU,77.97,broken clouds,58.7383,49.4582,
454,Emerald,AU,73.54,broken clouds,-23.5333,148.1667,
455,Havre-Saint-Pierre,CA,61.16,mist,50.2334,-63.5986,
457,Kieta,PG,84.13,light rain,-6.2167,155.6333,
459,Azle,US,74.28,overcast clouds,32.8951,-97.5459,
460,Moratuwa,LK,84.22,broken clouds,6.773,79.8816,
464,Changji,CN,75.99,clear sky,44.0167,87.3167,
468,Sao Felix Do Xingu,BR,70.32,clear sky,-6.6447,-51.995,
470,Baoqing,CN,79.45,scattered clouds,46.3317,132.2111,
471,Belmonte,BR,70.3,clear sky,-15.8631,-38.8828,
472,Oktyabrskoye,RU,66.34,clear sky,43.0645,44.7417,
473,Jiangkou,CN,73.29,overcast clouds,25.4872,119.1986,
476,Tigil,RU,63.48,overcast clouds,57.8,158.6667,
478,Texarkana,US,73.74,overcast clouds,33.4251,-94.0477,
479,Maragogi,BR,75.06,scattered clouds,-9.0122,-35.2225,
480,Nantucket,US,72.97,mist,41.2835,-70.0995,
481,Itarema,BR,75.67,scattered clouds,-2.9248,-39.9167,
483,Vanimo,PG,83.43,broken clouds,-2.6741,141.3028,
484,Houma,US,77.0,overcast clouds,29.5958,-90.7195,
485,Arkadak,RU,75.27,few clouds,51.9326,43.4978,
486,Mitsamiouli,KM,76.8,few clouds,-11.3847,43.2844,
491,Henties Bay,,60.85,clear sky,-22.116,14.2845,
492,Okrika,NG,72.91,light rain,4.7416,7.0849,
493,Zabaykalsk,RU,75.2,broken clouds,49.6333,117.3167,
495,Mwanza,TZ,66.76,broken clouds,-2.5167,32.9,
496,Verkhoyansk,RU,81.21,clear sky,67.5447,133.385,
497,Negombo,LK,84.25,scattered clouds,7.2083,79.8358,
502,Lasa,IT,63.48,few clouds,46.6166,10.7002,
503,Gwadar,PK,84.2,clear sky,25.1216,62.3254,
505,Kalanguy,RU,71.33,clear sky,51.0167,116.5167,
506,Acapulco,MX,81.0,overcast clouds,16.8634,-99.8901,
507,Borovskoy,KZ,62.22,overcast clouds,53.8,64.15,
508,Petatlan,MX,79.5,overcast clouds,17.5167,-101.2667,
513,Taos,US,68.4,clear sky,36.4072,-105.5731,
514,Batangafo,CF,69.6,broken clouds,7.3008,18.2833,
515,Gambela,ET,68.94,broken clouds,8.25,34.5833,
516,Peniche,PT,62.62,clear sky,39.3558,-9.3811,
518,Hopkinsville,US,69.75,overcast clouds,36.8656,-87.4886,
520,Esil,KZ,62.04,broken clouds,51.9556,66.4042,
521,Pompeu,BR,61.0,clear sky,-19.2244,-44.9353,
522,Samarai,PG,79.21,broken clouds,-10.6167,150.6667,
523,Barra Do Garcas,BR,69.76,clear sky,-15.89,-52.2567,
524,Kavaratti,IN,82.4,overcast clouds,10.5669,72.642,
525,Micoud,LC,80.53,scattered clouds,13.8167,-60.9,
526,Jalu,LY,78.08,clear sky,29.0331,21.5482,
527,Yumen,CN,81.21,overcast clouds,40.2833,97.2,
528,Ketchikan,US,61.27,broken clouds,55.3422,-131.6461,
530,Jumla,NP,73.58,few clouds,29.2747,82.1838,
531,Kristiinankaupunki,FI,62.85,broken clouds,62.2743,21.376,
532,Saint-Paul,RE,68.11,scattered clouds,-21.0096,55.2707,
533,Srednekolymsk,RU,72.25,broken clouds,67.45,153.6833,
534,Canmore,CA,71.71,scattered clouds,51.0834,-115.3521,
535,Nizhniy Tsasuchey,RU,78.55,scattered clouds,50.5167,115.1333,
536,Karacabey,TR,70.45,clear sky,40.2152,28.4038,
537,Boyle,US,67.5,moderate rain,37.6334,-84.8666,
540,Kita,ML,79.34,broken clouds,13.0349,-9.4895,
542,Esperanza,DO,77.49,overcast clouds,19.5847,-70.9849,
543,Diffa,NE,80.83,overcast clouds,13.3154,12.6113,
544,Port Hawkesbury,CA,65.91,broken clouds,45.6169,-61.3485,
546,Lagoa,PT,63.66,broken clouds,39.05,-27.9833,
548,Quijingue,BR,67.37,scattered clouds,-10.7525,-39.2092,
550,Amboasary,MG,66.04,clear sky,-25.0333,46.3833,
551,Rafai,CF,65.62,broken clouds,4.95,23.9167,
554,Arlit,NE,82.89,few clouds,18.7369,7.3853,
555,Flinders,AU,64.06,few clouds,-34.5833,150.8552,
557,Mitu,CO,69.75,broken clouds,1.1983,-70.1733,
558,Gat,IL,74.39,clear sky,31.61,34.7642,
559,Matara,LK,83.66,scattered clouds,5.9485,80.5353,
560,Alexandria,EG,73.36,clear sky,31.2156,29.9553,
562,Sahuaripa,MX,74.5,overcast clouds,29.05,-109.2333,
565,Sembe,CG,67.15,overcast clouds,1.6481,14.5806,
566,Kaga,JP,77.68,scattered clouds,36.2997,136.3145,
569,Pindiga,NG,71.98,light rain,9.9833,10.9333,
570,Huarmey,PE,65.08,overcast clouds,-10.0681,-78.1522,
571,Astoria,US,61.86,overcast clouds,46.1879,-123.8313,
572,Krasnokamensk,RU,74.43,broken clouds,50.0979,118.0369,
573,Zhifang,CN,84.18,scattered clouds,30.35,114.3167,
576,Warsaw,PL,74.95,clear sky,52.2298,21.0118,
577,Tiarei,PF,82.0,light rain,-17.5333,-149.3333,
579,Panguna,PG,78.67,light rain,-6.3164,155.4848,
580,Serrinha,BR,67.35,overcast clouds,-11.6642,-39.0075,
581,Landau,DE,61.88,overcast clouds,49.2075,8.1133,
582,Cayenne,GF,78.1,mist,4.9333,-52.3333,
584,Harper,LR,77.27,light rain,4.375,-7.7169,
585,Pochutla,MX,79.83,overcast clouds,15.7432,-96.4661,
586,Sao Jose Da Coroa Grande,BR,75.6,scattered clouds,-8.8978,-35.1478,
587,Nouadhibou,MR,67.98,scattered clouds,20.931,-17.0347,
590,Mackay,AU,73.38,scattered clouds,-21.15,149.2,
591,Brownsville,US,84.9,overcast clouds,25.9018,-97.4975,
592,Schoneiche,DE,68.13,scattered clouds,52.4667,13.6833,
593,Bone,DE,63.43,overcast clouds,51.9669,12.1396,
594,Victoria Point,AU,72.81,broken clouds,-27.5833,153.3,
597,Jiamusi,CN,79.93,clear sky,46.8333,130.35,
601,Vaitape,PF,79.88,clear sky,-16.5167,-151.75,
602,Sorong,ID,82.51,broken clouds,-0.8833,131.25,
603,Mucurapo,TT,78.85,broken clouds,10.6667,-61.5333,
604,Sulangan,PH,83.61,overcast clouds,11.1373,123.7228,
605,Lompoc,US,65.01,broken clouds,34.6391,-120.4579,
609,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,
611,Qurayyat,SA,68.18,clear sky,31.3318,37.3428,
612,Praya,CV,72.14,few clouds,14.9215,-23.5087,
614,Linxia,CN,77.56,broken clouds,35.6003,103.2064,
616,Bulz,RO,65.07,scattered clouds,46.9167,22.6833,
617,Vasai,IN,84.29,overcast clouds,19.47,72.8,
619,Dalnegorsk,RU,74.1,clear sky,44.5604,135.5701,
620,Chama,CH,63.9,broken clouds,47.1821,8.4636,
621,Saint-Joseph,RE,66.58,broken clouds,-21.3667,55.6167,
622,Zabol,AF,76.23,clear sky,32.25,67.25,
623,Bonthe,SL,74.66,heavy intensity rain,7.5264,-12.505,
624,Cerritos,US,81.95,few clouds,33.8583,-118.0648,
625,Solnechnyy,RU,79.11,overcast clouds,50.7214,136.6319,
626,Cascais,PT,63.63,clear sky,38.6979,-9.4215,
628,Maturin,VE,72.54,overcast clouds,9.75,-63.1767,
631,Kabo,CF,70.52,broken clouds,7.6994,18.629,
632,Hualmay,PE,63.82,overcast clouds,-11.0964,-77.6139,
633,Ilhabela,BR,64.33,broken clouds,-23.7781,-45.3581,
634,Mogadishu,SO,77.54,broken clouds,2.0371,45.3438,
636,Mattru,SL,72.5,moderate rain,7.6244,-11.8332,
641,Odweyne,SO,70.21,clear sky,9.4092,45.064,
642,Praia Da Vitoria,PT,68.25,scattered clouds,38.7333,-27.0667,
643,Gbadolite,CD,69.76,overcast clouds,4.2833,21.0167,
647,Aldan,RU,79.27,clear sky,58.6031,125.3894,
648,Half Moon Bay,US,66.92,overcast clouds,37.4636,-122.4286,
650,Whyalla,AU,62.49,light rain,-33.0333,137.5833,
651,Thinadhoo,MV,83.75,few clouds,0.5333,72.9333,
652,Marawi,PH,79.65,overcast clouds,7.9986,124.2928,
653,Sosnovo-Ozerskoye,RU,76.3,scattered clouds,52.5249,111.5418,
654,Tiznit,MA,60.4,broken clouds,29.5833,-9.5,
655,Hurghada,EG,82.44,clear sky,27.2574,33.8129,
656,Natal,BR,75.42,few clouds,-5.795,-35.2094,
657,New Ipswich,US,74.59,broken clouds,42.7481,-71.8542,
658,Luwuk,ID,84.78,broken clouds,-0.9516,122.7875,
659,Bandarbeyla,SO,79.05,few clouds,9.4942,50.8122,
663,Mirnyy,RU,84.02,scattered clouds,62.5353,113.9611,
664,Monrovia,LR,75.87,moderate rain,6.3005,-10.7969,
666,Wajima,JP,75.88,scattered clouds,37.4,136.9,
